Family,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Diptera,Diptera,Diptera,Diptera,Lepidoptera ,Lepidoptera ,Lepidoptera ,Lepidoptera ,Coleoptera,Coleoptera,Coleoptera,Coleoptera,,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Diptera,Diptera,Diptera,Diptera,Lepidoptera,Lepidoptera ,Lepidoptera,Lepidoptera,Lepidoptera,Coleoptera,Coleoptera,Coleoptera,Coleoptera
Species,Honigbiene (Apis mellifera),Deutsche Wespe (Vespula germanica),Dunkle Erdhummel (Bombus terrestris),Rote Waldameise (Formica rufa),Fruchtfliege (Drosophila melanogaster),Hausfliege (Musca domestica),Common Drone Fly (Eristalix tenax),Regenbremse (Haematopota pluvialis),Tagpfauenauge (Aglais io),Admiral (Vanessa atalanta),Gammaeule (Autographa gamma),Taubenschwänzchen (Macroglossum stellatarum),Siebenpunkt (Coccinella septempunctata),Feldmaikäfer (Melolontha melolontha),Hirschkäfer (Lucanus cervus),Rose chafer (Cetonia aurata) ,,"Hornisse, European hornet (Vespa crabro)","Asian Giant Hornet, Asiatische Riesenhornisse (Vespa mandarinia)",European Paper Wasp (Polistes dominula),Tenthredo campestris (Sawfly),Giant scoliid wasp (Megascolia procer),"Schmeißfliege, blow fly (Calliphora vicina)","Asian Tiger Mosquitoe, Tigermücke (Aedes albopticus)",Yellow fever mosquitoe (Aedes aegyptii),Black Horsefly (Tabanus atratus),Cabbage White (Pieris rapae),Graphium sarpedon,Red Postman (Heliconius erato),Monarch (Danaus plexippus),,Lampyris noctiluca (europäisches Glühwürmchen),Gekörnter Fichtenborkenkäfer (Cryphalus abietis),Asiatischer Marienkäfer (),Gelbrandrüssler (Chlorophanus viridis)
Ommatidia,4752 to 5432,,6000-6500,,800,3450,6400 (Syritta pipiens),unkown!!!,,,,,,,,,,,,,,,,,780,,,,,,,,,,
Spectrum vision (Peaks of PRs in females),346-430-540,347-445-534,348-435-533 (dalmatinus),370-540 (cunicularia),345-370-440-480-520,335-355-460-490-530,350-450-520,530 (sp.),360-460-530 (urtica),530 (cardui),Anadevidia other Nocturida (420-460-520),349-440-521,360-420-520,Anomala corpulenta (400-460-562),Lethrus apterus (355-525),Protaetia brevitaris (360-530),,346-445-529,?,358-457-527,337-458-537-602,?,335-355-460-490-530,515,345-523,Tabanus bromius (360-440-530),360-420-440-560-620-640,360-400-460-480-500-540-640,female 390-470-560-600,340-435-540,345-440-520,Rhagophthalmus ohbai (360-560-600),,?,Rhynchophorus ferrugineus (366-521-537-564)
Wingspan,18mm,9-19mm,22-34mm,5-12mm,5mm,13-15mm,15mm,8–10 mm,60-70mm,44-64mm,35-40mm,40-45mm,,,,,,,,,,11.6cm,,,,,,,,,,,,,
Size,11-18mm,12-20mm,11-28mm,4-11mm,,,15mm,5–11.5 mm,,,,,5.5-8mm,,,,,,,,,60mm,,,,,,,,,,,"1,2-1,7mm",,8-11mm
Weight,82mg,74mg,50-400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evo Alter,300000a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iNaturalist Observations,133761,6008,11306,1781,503 (Drosophila total 2927),6871,13697,231,16942,47245,5772,5379,41716,3022,5832,6787,,12364,206,15043,114,,5230,3542,2064,2934,43887,2168,2409,119002,,1558,1,79254,104
(Food)Travel Distance,45-5983m,1000m,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Chromosomen,16-32,52,18-36,26-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speciality,can pollinate nearly everything = 64%,,,15-20% of terrestrial biomass,Everywhere,,Hovering,,Raupen auf Brennnesseln ---> Biergarten,,,,,,,,,,,,,,Rotten flesh,,,only America,only America,,,,,,,,
Seasonality?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
